GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.7305908,-2.2394714,8.908188,-0.008696407,2249.5,18.03921509,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-6.921219,-0.9035034,9.2864685,0.20321459,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.7705231,-1.3296661,11.304779,0.1819722,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-4.661087,-2.0455322,9.932907,0.052012406,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,1.9780273,-0.35523987,11.711792,0.2085778,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.149582,-0.6569061,8.606506,-0.074254155,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.3506927,-0.30496216,14.678207,0.100768335,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:08.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.83432,-1.925827,5.5539093,0.09007045,2249.5,18.8235302,46,9.411765099,22.35862541,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.06985474,-0.90589905,4.737488,-0.048891198,2249.5,18.8235302,46,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.1296387,-0.2546692,12.674255,0.31635422,2249.5,18.8235302,46,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-5.3266754,-0.82688904,11.410126,0.14227784,2249.5,18.8235302,46,9.411765099,21.33415604,-
