GPSTime, DeviceTime, Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),GPSAltitude(m)
Tue May 28 08:37:33 GMT+02:00 2019,37:32.6,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-0.9907837,-0.5707092,9.008743,-0.031143188,2301.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.7,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.4648285,-0.37438965,9.104507,-0.0188918,2301.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.8,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.0219116,-0.41508484,10.394974,0.08457881,2306.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.9,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.8670654,-0.7933655,10.782837,0.07991207,2306.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:33.0,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.9532471,-0.7047882,9.482788,0.07384331,2306.25,27.05882454,74,16.07843208,9.442930222,260.008667
Tue May 28 08:37:34 GMT+02:00 2019,37:33.1,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.5630035,-0.48213196,8.764526,0.04265673,2306.25,27.05882454,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.2,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.5869446,-0.28100586,9.46843,-0.001936913,2306.25,27.05882454,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.3,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.5941162,-0.4605713,9.715027,-0.012280379,2306.25,69.41176605,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.4,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.4887695,-0.6473236,9.573776,0.004742026,2306.25,69.41176605,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.5,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.7784729,-0.4893036,9.62645,0.01814133,2306.25,69.41176605,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.6,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.5821533,-0.56352234,9.971207,0.049750507,2306.25,69.41176605,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.7,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.7162323,-0.6161957,9.482788,-0.017324984,2306.25,69.41176605,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.8,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.5007477,-0.52282715,9.082962,-0.014178293,2306.25,69.41176605,74,16.07843208,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:33.9,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-1.45047,-0.55155945,9.765305,0.026934087,2306.25,69.41176605,74,25.09803963,9.442930222,260.2977295
Tue May 28 08:37:34 GMT+02:00 2019,37:34.0,11.16584785,43.4109493,19.9,6.432,260.2977295,121.6,-0.9620514,-0.6952057,9.339142,-0.011808919,2306.25,69.41176605,74,25.09803963,9.442930222,260.2977295
Tue May 28 08:37:35 GMT+02:00 2019,37:34.1,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-0.7298126,-0.4701538,9.724609,-0.008265285,2306.25,69.41176605,74,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.2,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-0.861496,-0.64971924,10.038239,-0.005496055,2306.25,69.41176605,74,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.3,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-1.0123291,-0.5563507,9.430115,-0.012539268,2306.25,69.41176605,74,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.4,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-1.019516,-0.34565735,9.92572,0.0253508,2365.75,69.41176605,74,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.5,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-0.9333191,-0.45100403,9.803619,0.026220595,2365.75,69.41176605,74,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.6,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-1.2325897,-0.5395813,9.686295,0.015870571,2365.75,69.41176605,76,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.7,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-1.4696198,-0.4988861,9.973602,0.004120509,2365.75,69.41176605,76,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:34.8,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-1.2182312,-0.73831177,12.942413,0.018242106,2365.75,71.37255096,76,25.09803963,9.147946358,261.4134521
