GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second), HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.9229584,-4.944916,8.577789,0.047139704,3586.75,38.4313736,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.9229584,-4.944916,8.577789,0.047139704,3586.75,38.4313736,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.5782013,-4.9521027,8.824387,0.04313991,3586.75,38.4313736,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.2884979,-4.7414093,8.505951,0.03869156,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.5279236,-4.918579,9.331955,0.10553509,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.4872131,-4.968857,8.7789,0.045585226,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.707489,-4.458893,8.448502,0.023639645,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.7218475,-4.5714264,8.168381,0.019334182,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.7218475,-4.5714264,8.168381,0.019334182,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.57341,-4.3631287,8.6184845,0.016797982,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.712265,-4.5235443,8.3647,0.009873352,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:30.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.4680634,-4.566635,8.467651,0.01104188,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.4441223,-4.727051,8.860291,-3.91E-04,3586.75,38.4313736,74,30.58823586,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.5710144,-4.810837,8.819595,0.01504006,3586.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.6380463,-4.578598,8.731018,0.037743032,3586.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.6811523,-4.7892914,8.903397,0.07636287,3586.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.3220215,-4.911392,9.013535,0.08034622,3586.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.0419006,-4.4421387,8.64003,0.06622497,3586.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.91500854,-4.712677,8.85791,0.04603094,3586.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.95570374,-4.542694,8.750168,0.027247999,3738.75,38.4313736,74,30.58823586,4.957950592,-
