GPSTime, DeviceTime, Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),GPSAltitude(m)
Wed Jun 19 19:55:16 GMT+02:00 2019,55:15.8,11.34134337,43.2954293,0,10.72,280.9195557,0,0.15124512,-0.8747711,9.779678,0.018044557,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:15.9,11.34134337,43.2954293,0,10.72,280.9195557,0,0.16082764,-0.8963165,9.693481,0.017049968,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.0,11.34134337,43.2954293,0,10.72,280.9195557,0,0.14886475,-0.87716675,9.770096,0.017449746,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.1,11.34134337,43.2954293,0,10.72,280.9195557,0,0.1871643,-0.8340759,9.674332,0.017393263,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.2,11.34134337,43.2954293,0,10.72,280.9195557,0,0.20391846,-0.881958,9.566589,0.00412035,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.3,11.34134337,43.2954293,0,10.72,280.9195557,0,0.096191406,-0.77900696,9.822769,0.01587632,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.4,11.34134337,43.2954293,0,10.72,280.9195557,0,0.1081543,-0.74069214,9.806015,0.017434051,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.5,11.34134337,43.2954293,0,10.72,280.9195557,0,0.20152283,-0.8244934,9.700668,0.017189652,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.6,11.34134337,43.2954293,0,10.72,280.9195557,0,0.122528076,-0.69281006,9.592926,0.005075514,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:17 GMT+02:00 2019,55:16.7,11.3413383,43.295424,0,11.792,282.8929443,0,0.13928223,-0.76942444,9.679108,0.017120374,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:16.8,11.3413383,43.295424,0,11.792,282.8929443,0,0.16322327,-0.7933655,9.674332,0.016568474,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:16.9,11.3413383,43.295424,0,11.792,282.8929443,0,0.158432,-0.79815674,9.671936,0.01398629,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.0,11.3413383,43.295424,0,11.792,282.8929443,0,0.122528076,-0.8340759,9.633621,0.010350287,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.1,11.3413383,43.295424,0,11.792,282.8929443,0,0.1656189,-0.78619385,9.676727,0.01727738,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.2,11.3413383,43.295424,0,11.792,282.8929443,0,0.13928223,-0.8388672,9.703064,0.016265081,1241.5,27.05882454,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.3,11.3413383,43.295424,0,11.792,282.8929443,0,0.13209534,-0.80773926,9.70784,0.01767385,1241.5,27.05882454,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.4,11.3413383,43.295424,0,11.792,282.8929443,0,0.15603638,-0.82928467,9.729401,0.017913023,1241.5,27.05882454,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.5,11.3413383,43.295424,0,11.792,282.8929443,0,0.13449097,-0.8316803,9.736572,0.017419647,1241.5,27.05882454,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:17.6,11.3413383,43.295424,0,11.792,282.8929443,0,0.16082764,-0.8436432,9.731781,0.017435392,1241.5,27.05882454,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:18 GMT+02:00 2019,55:17.7,11.34133448,43.29542014,0,10.72,283.6241455,0,0.14646912,-0.8388672,9.734177,0.020637333,1241.5,27.05882454,0,13.72549057,0,283.6241455
Wed Jun 19 19:55:18 GMT+02:00 2019,55:17.8,11.34133448,43.29542014,0,10.72,283.6241455,0,0.11294556,-0.81970215,9.631226,0.017093977,1241.5,27.05882454,0,14.11764717,0,283.6241455
Wed Jun 19 19:55:18 GMT+02:00 2019,55:17.9,11.34133448,43.29542014,0,10.72,283.6241455,0,0.11534119,-0.75027466,9.705444,0.016375728,1241.5,27.05882454,0,14.11764717,0,283.6241455
Wed Jun 19 19:55:18 GMT+02:00 2019,55:18.0,11.34133448,43.29542014,0,10.72,283.6241455,0,0.14167786,-0.72154236,9.736572,0.019918263,1241.5,27.05882454,0,14.11764717,0,283.6241455
Wed Jun 19 19:55:18 GMT+02:00 2019,55:18.1,11.34133448,43.29542014,0,10.72,283.6241455,0,0.11534119,-0.65211487,9.647995,0.018781874,1241.5,27.05882454,0,14.11764717,0,283.6241455
Wed Jun 19 19:55:18 GMT+02:00 2019,55:18.2,11.34133448,43.29542014,0,10.72,283.6241455,0,0.12013245,-0.644928,9.7174225,0.018129876,1241.5,27.05882454,0,14.11764717,0,283.6241455
Wed Jun 19 19:55:18 GMT+02:00 2019,55:18.3,11.34133448,43.29542014,0,10.72,283.6241455,0,0.10575867,-0.60183716,9.66954,0.017137336,1622.25,27.05882454,0,14.11764717,0,283.6241455
